Seasmoke,Laenor Velaryon,2,grey,green
Vhagar,Baelon Targaryen,1,black
Vermithor,King Jaehaerys Targaryen,2,orange,red
Meleys,Rhaenys Targaryen,1,red
Moondancer,Baela Targaryen,1,grey
Stormcloud,Aegon Targaryen (the younger),2,grey,blue
Syrax,Rhaenyra Targaryen,1,gold
Caraxes,Daemon Targaryen,1,red
Viserion,Daenerys Targaryen,1,blue
Rhaegal,Daenerys Targaryen,1,green
Vermax,Jacaerys Velaryon,1,violet
Sunfyre,Aegon Targaryen,2,gold,orange
Balerion,King Aegon I Targaryen,1,black
Drogon,Daenerys Targaryen,2,black,red
Sheepstealer,none,1,grey
