Dragon,Cadmus,Dragon teeth,Greek
Dragon,Kaida,Little dragon,Japanese
Dragon,Tanwen,White fire,Welsh
Dragon,Ryoko,“She who is like a dragon”,Japanese
Dragon,Brantley,Fire,German
Dragon,Hydra,Many-headed dragon,Greek
Dragon,Chua,Serpent,Native American
Dragon,Attor,Poison/venom,English
Dragon,Pendragon,Chief of dragons,Celtic
Dragon,Tatsuya,“Sign of dragons”,Japanese
Elf,Aegnor,Fell fire; sharp flame,Sindarin
Elf,Callon,Dauntless; strong,Sindarin
Elf,Tuilë,Spring,Quenya
Elf,Calanis,Woman of light,Quenya
Elf,Thranduil,Vigorous spring,Sindarin
Elf,Yavanna,Giver of fruits,Quenya
Elf,Legolin,Running free,Ilkorin
Elf,Amarië,Of the home,Quenya
Elf,Elrand,Star dome,Quenya
Elf,Beren,Bold,Noldorin
